trial,cost,gens,feasible,num_columns,overlaps,uncovered,columns_used
0,10772,214,True,5,0,0,1 4 144 459 994
1,8472,317,True,5,0,0,1 4 118 690 962
2,10544,294,True,6,0,0,1 3 118 690 964 995
3,10166,151,True,4,0,0,0 17 191 620
4,7656,176,True,4,0,0,0 54 195 314
5,7722,321,True,5,0,0,1 4 196 320 1057
6,8472,207,True,5,0,0,1 4 118 690 962
7,8228,198,True,5,0,0,1 4 196 324 1034
8,8794,212,True,5,0,0,1 4 118 656 1064
9,10120,252,True,4,0,0,0 19 211 459
10,8592,297,True,4,0,0,0 29 118 691
11,7946,204,True,5,0,0,1 4 118 659 1045
12,9024,195,True,5,0,0,1 4 195 314 1078
