trial,cost,gens,feasible,num_columns,overlaps,uncovered,columns_used
0,8974,376,True,6,0,0,0 30 155 157 799 815
1,9734,201,True,5,0,0,0 6 111 282 817
2,9706,301,True,6,0,0,0 79 98 170 605 796
3,9138,276,True,6,0,0,0 30 155 212 296 796
4,8986,201,True,6,0,0,0 30 155 244 282 819
5,9216,351,True,6,0,0,0 30 155 244 296 731
6,9138,226,True,6,0,0,0 30 155 212 296 796
7,9372,326,True,6,0,0,0 30 131 263 282 919
8,9734,201,True,5,0,0,0 6 111 282 817
9,10038,126,True,5,0,0,0 29 98 170 730
10,9216,126,True,6,0,0,0 30 98 170 802 949
11,9974,176,True,5,0,0,0 25 131 213 282
12,9462,201,True,6,0,0,0 30 98 212 482 796
13,9788,301,True,6,0,0,0 79 98 244 437 605
14,9696,126,True,6,0,0,0 30 148 265 282 815
15,9750,101,True,5,0,0,0 42 111 213 282
16,9290,201,True,6,0,0,0 30 98 170 803 946
17,9892,151,True,6,0,0,0 30 155 158 710 917
18,9884,226,True,6,0,0,0 74 155 157 621 710
19,9472,276,True,6,0,0,0 30 131 158 796 919
20,8904,132,True,6,0,0,0 30 155 157 796 819
21,9132,226,True,6,0,0,0 30 131 157 802 949
22,9438,176,True,6,0,0,0 30 155 246 282 815
23,9484,251,True,6,0,0,0 30 155 193 291 949
24,9462,176,True,6,0,0,0 30 98 212 482 796
25,9518,226,True,6,0,0,0 30 131 212 322 802
26,9734,251,True,5,0,0,0 6 111 282 817
27,9876,176,True,5,0,0,0 47 111 157 730
28,9454,226,True,6,0,0,0 30 155 212 294 799
29,9756,201,True,6,0,0,0 30 98 246 438 946
