trial,cost,gens,feasible,num_columns,overlaps,uncovered,columns_used
0,8904,545,True,6,0,0,0 30 155 157 796 819
1,8974,613,True,6,0,0,0 30 155 157 799 815
2,8974,655,True,6,0,0,0 30 155 157 799 815
3,8904,380,True,6,0,0,0 30 155 157 796 819
4,8904,389,True,6,0,0,0 30 155 157 796 819
5,8904,381,True,6,0,0,0 30 155 157 796 819
6,8904,470,True,6,0,0,0 30 155 157 796 819
7,8904,174,True,6,0,0,0 30 155 157 796 819
8,8904,258,True,6,0,0,0 30 155 157 796 819
9,8904,336,True,6,0,0,0 30 155 157 796 819
10,8904,421,True,6,0,0,0 30 155 157 796 819
11,8904,337,True,6,0,0,0 30 155 157 796 819
12,8904,324,True,6,0,0,0 30 155 157 796 819
13,8904,303,True,6,0,0,0 30 155 157 796 819
14,8904,209,True,6,0,0,0 30 155 157 796 819
15,8904,404,True,6,0,0,0 30 155 157 796 819
16,8904,707,True,6,0,0,0 30 155 157 796 819
17,8986,658,True,6,0,0,0 30 155 244 282 819
18,8986,539,True,6,0,0,0 30 155 244 282 819
19,8904,475,True,6,0,0,0 30 155 157 796 819
20,8904,350,True,6,0,0,0 30 155 157 796 819
21,8904,465,True,6,0,0,0 30 155 157 796 819
22,8904,347,True,6,0,0,0 30 155 157 796 819
23,8904,267,True,6,0,0,0 30 155 157 796 819
24,8904,224,True,6,0,0,0 30 155 157 796 819
25,8904,303,True,6,0,0,0 30 155 157 796 819
26,8904,467,True,6,0,0,0 30 155 157 796 819
27,8904,455,True,6,0,0,0 30 155 157 796 819
28,8904,284,True,6,0,0,0 30 155 157 796 819
29,8904,421,True,6,0,0,0 30 155 157 796 819
