trial,cost,gens,feasible,num_columns,overlaps,uncovered,columns_used
0,11307,437399,True,5,0,0,0 10 61 76 140
1,11307,478733,True,5,0,0,0 10 61 76 140
2,11307,646599,True,5,0,0,0 10 61 76 140
3,11307,608680,True,5,0,0,0 10 61 76 139
4,11307,472552,True,5,0,0,0 10 60 76 139
5,11307,364449,True,5,0,0,0 10 61 76 139
6,11307,430692,True,5,0,0,0 10 60 76 140
7,11307,502852,True,5,0,0,0 10 61 76 140
8,11307,528455,True,5,0,0,0 10 60 76 139
9,11307,264057,True,5,0,0,0 10 61 76 139
10,11307,494880,True,5,0,0,0 10 61 76 140
11,11307,510460,True,5,0,0,0 10 60 76 140
12,11307,487271,True,5,0,0,0 10 60 76 139
13,11307,522391,True,5,0,0,0 10 60 76 139
14,11307,518177,True,5,0,0,0 10 61 76 140
15,11307,474863,True,5,0,0,0 10 61 76 140
16,11307,441406,True,5,0,0,0 10 61 76 139
17,11307,499533,True,5,0,0,0 10 61 76 140
18,11307,406630,True,5,0,0,0 10 61 76 140
19,11307,497177,True,5,0,0,0 10 61 76 140
20,11307,567338,True,5,0,0,0 10 61 76 139
21,11307,561982,True,5,0,0,0 10 60 76 139
22,11307,498038,True,5,0,0,0 10 60 76 140
23,11307,511528,True,5,0,0,0 10 61 76 139
24,11307,536926,True,5,0,0,0 10 60 76 139
25,11307,502381,True,5,0,0,0 10 60 76 140
26,11307,502418,True,5,0,0,0 10 60 76 140
27,11307,550770,True,5,0,0,0 10 61 76 139
28,11307,598111,True,5,0,0,0 10 60 76 140
29,11307,558339,True,5,0,0,0 10 60 76 140
