trial,cost,gens,feasible,num_columns,overlaps,uncovered,columns_used
0,11307,290,True,5,0,0,0 10 61 76 140
1,11307,306,True,5,0,0,0 10 60 76 139
2,11307,534,True,5,0,0,0 10 61 76 139
3,11430,1000,True,5,0,0,0 10 58 79 141
4,11307,343,True,5,0,0,0 10 60 76 139
5,11307,523,True,5,0,0,0 10 61 76 140
6,11307,698,True,5,0,0,0 10 60 76 139
7,11307,278,True,5,0,0,0 10 61 76 140
8,11307,591,True,5,0,0,0 10 60 76 140
9,11307,81,True,5,0,0,0 10 60 76 140
10,11307,260,True,5,0,0,0 10 61 76 139
11,11307,226,True,5,0,0,0 10 60 76 139
12,11307,241,True,5,0,0,0 10 60 76 140
13,11307,137,True,5,0,0,0 10 60 76 140
14,11307,158,True,5,0,0,0 10 60 76 139
15,11307,147,True,5,0,0,0 10 61 76 140
16,11307,432,True,5,0,0,0 10 61 76 140
17,11307,231,True,5,0,0,0 10 60 76 140
18,11307,354,True,5,0,0,0 10 60 76 139
19,11457,639,True,5,0,0,0 10 58 70 187
20,11307,398,True,5,0,0,0 10 60 76 139
21,11307,562,True,5,0,0,0 10 61 76 140
22,11307,258,True,5,0,0,0 10 61 76 140
23,11307,327,True,5,0,0,0 10 61 76 139
24,11430,743,True,5,0,0,0 10 58 79 141
25,11307,479,True,5,0,0,0 10 61 76 140
26,11430,761,True,5,0,0,0 10 58 79 141
27,11307,393,True,5,0,0,0 10 60 76 140
28,11430,1000,True,5,0,0,0 10 58 79 141
29,11307,459,True,5,0,0,0 10 61 76 140
